"Phocaeicola_vulgatus"	"Faecalibacterium_prausnitzii"	"Bacteroides_uniformis"	"Prevotella_copri_clade_A"	"Bacteroides_stercoris"	"Phocaeicola_dorei"	"Bacteroides_ovatus"	"Bacteroides_fragilis"	"Eubacterium_rectale"	"Alistipes_putredinis"	"Bacteroides_caccae"	"Parabacteroides_distasonis"	"Bacteroides_xylanisolvens"	"Roseburia_faecis"	"Bacteroides_thetaiotaomicron"	"Roseburia_intestinalis"	"Phocaeicola_massiliensis"	"Alistipes_onderdonkii"	"Parabacteroides_merdae"	"Akkermansia_muciniphila"	"Escherichia_coli"	"Bacteroides_eggerthii"	"Sutterella_wadsworthensis"	"Dialister_invisus"	"Bacteroides_faecis"	"Bacteroides_cellulosilyticus"	"Lachnospira_eligens"	"Faecalibacterium_SGB15346"	"Eubacterium_siraeum"	"Barnesiella_intestinihominis"	"Alistipes_finegoldii"	"Phascolarctobacterium_faecium"	"Prevotella_sp_885"	"Flavonifractor_plautii"	"Lachnospira_pectinoschiza"	"Veillonella_parvula"	"Enterocloster_bolteae"	"Dysosmobacter_welbionis"	"Candidatus_Cibionibacter_quicibialis"	"Firmicutes_bacterium_AF16_15"	"Ruminococcus_bicirculans"	"Clostridium_sp_AF34_10BH"	"Odoribacter_splanchnicus"	"Alistipes_shahii"	"Ruminococcus_bromii"	"Bacteroides_finegoldii"	"Anaerostipes_hadrus"	"Prevotella_copri_clade_B"	"Roseburia_inulinivorans"	"Prevotella_marseillensis"	"Bacteroides_caecigallinarum"	"Phocaeicola_coprocola"	"Fusicatenibacter_saccharivorans"	"Ruminococcus_gnavus"	"Dysosmobacter_sp_BX15"	"Faecalibacterium_SGB15315"	"Alistipes_SGB2313"	"Ruminococcus_torques"	"Waltera_intestinalis"	"Blautia_wexlerae"	"Phocaeicola_plebeius"	"Ruminococcus_sp_BSD2780120874_150323_B10"	"Oscillibacter_sp_ER4"	"Parasutterella_excrementihominis"	"Acidaminococcus_intestini"	"Veillonella_dispar"	"Klebsiella_pneumoniae"	"GGB3746_SGB5089"	"GGB1266_SGB1699"	"Dorea_longicatena"	"GGB1543_SGB2126"	"Coprococcus_eutactus"	"Paraprevotella_clara"	"Prevotella_copri_clade_E"	"GGB3278_SGB4328"	"Roseburia_hominis"	"Prevotella_copri_clade_C"	"GGB1680_SGB2312"	"Bacteroides_ilei"	"GGB3277_SGB4327"	"Clostridium_sp_AF36_4"	"Clostridium_fessum"	"Lacrimispora_amygdalina"	"Akkermansia_sp_KLE1798"	"Bifidobacterium_longum"	"Clostridiales_bacterium"	"Clostridiaceae_bacterium"	"Clostridium_sp_AM22_11AC"	"GGB9708_SGB15234"	"Bifidobacterium_adolescentis"	"Alistipes_dispar"	"Enterocloster_clostridioformis"	"Eisenbergiella_massiliensis"	"Eubacterium_ventriosum"	"Lachnospira_sp_NSJ_43"	"Prevotella_stercorea"	"GGB9342_SGB14306"	"Hungatella_hathewayi"	"GGB781_SGB1024"	"Blautia_obeum"	"Haemophilus_parainfluenzae"	"Blautia_faecis"	"Bilophila_wadsworthia"	"Clostridium_leptum"	"Parasutterella_SGB9260"	"Clostridium_symbiosum"	"Ruthenibacterium_lactatiformans"	"Clostridium_sp_AF20_17LB"	"GGB9713_SGB15249"	"GGB51647_SGB4348"	"Roseburia_sp_AF02_12"	"GGB1549_SGB2133"	"Clostridium_sp_AT4"	"GGB6601_SGB9333"	"GGB4237_SGB5728"	"Phocaeicola_sartorii"	"Proteus_mirabilis"	"Clostridium_sp_1001270H_150608_G6"	"Alistipes_communis"	"Dysgonomonas_mossii"	"GGB33469_SGB15236"	"Vescimonas_coprocola"	"Rikenellaceae_bacterium"	"Prevotella_SGB48271"	"Bacteroides_salyersiae"	"Ruminococcus_lactaris"	"GGB3304_SGB4367"	"Bacteroides_intestinalis"	"Phascolarctobacterium_succinatutens"	"Bacteroides_mediterraneensis"	"Collinsella_aerofaciens"	"GGB33512_SGB15201"	"GGB3175_SGB4191"	"Clostridium_sp_AM49_4BH"	"Lactobacillus_acidophilus"	"GGB16040_SGB9347"	"Collinsella_SGB14861"	"Veillonella_rogosae"	"Butyrivibrio_crossotus"	"GGB9453_SGB14844"	"Lacrimispora_celerecrescens"	"Coprococcus_comes"	"Tyzzerella_nexilis"	"Oscillospiraceae_bacterium"	"Clostridiaceae_bacterium_Marseille_Q4149"	"GGB3267_SGB4317"	"GGB9480_SGB14874"	"GGB3478_SGB14857"	"Gemmiger_formicilis"	"GGB58485_SGB80143"	"GGB28645_SGB41268"
"CSM5FZ3N_P"	0.42652263580693	0.0602551091168419	0.269241131409233	0	0	0.00016113286956439	0	0.00848646902758382	0	0	0.0260116853391531	0	0	0.0445176609588605	0.0571649364533538	0	0	0	0	0	0	0	0	0.0123993708164793	0	0	0	0	0	0	0	0	0	0.00485322274530075	0	0	0.00427188265555656	0.00205439237549874	0	0	0.00665391876069586	0	0	0	0	0	0.000544624962211859	0	0	0	0	0	0.00651895188342916	0.00238886201617348	0	0	0	0.00588993383934019	0	0.000134242917005506	0	0	0	0	0	0	0	0.0016505259726432	0	0.00244160769234667	0	0	0	0	0	0	0	0	0	0	0.0100589107149118	0.0107693225769386	0	0	0	0.0038121678896941	0.00374039240094078	0	0	0	0	0.0147295920514955	0.000134760031477791	0	0	0	0	0.0000085841002399514	0	0.00162322232850648	0	0	0	0	0	0.000147274201707119	0.000503152381534504	0	0	0	0	0	0.00361783627100894	0	0	0.0000243043801974525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00384412556408139	0	0	0.0048240574890638	0	0	0	0
"CSM5FZ3R_P"	0.536958442058456	0.0073969042849551	0.252604846907836	0	0.00839095756101577	0.0000295356678800023	0.000300174553702442	0.00581328975181451	0.0000501687408316354	0.000691574521317944	0.0136469448703143	0.000436331887901038	0.0000301640863455339	0.00549112055181844	0.0762602565748806	0	0	0.00000450366566964515	0.000228849057864563	0	0	0	0.0000095310133939008	0.0195990103666005	0.0000575002895961754	0.0000355056433025566	0.000070592340961425	0	0.000272419404808113	0	0	0	0	0.0113907131062327	0	0	0.00178229950465962	0.00444836484467905	0.000171662977501152	0	0.00104432675330323	0	0	0	0	0	0.00369122533012393	0	0.00036354008231025	0	0	0	0.00865866382733239	0.000149982540440299	0	0	0	0.00354543224612051	0	0.000344792264755212	0	0	0	0	0	0	0	0.0026164202812424	0	0.000870987993227324	0	0	0	0	0	0.000540963562412113	0	0	0	0	0.00172375185095422	0.00459174899123126	0	0	0.000478331188680759	0.00474560677887567	0.00101793317775089	0	0	0	0	0.00913112977700152	0.00103060628347245	0	0	0	0	0	0	0.000395484687641459	0	0	0	0.000247492139008677	0	0	0.00204571157812844	0	0	0	0	0	0.00392897698291686	0	0	0.0000408472002595781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000818724524177248	0	0	0.00180565572429522	0	0	0	0
"CSM5FZ3T_P"	0.591182063593237	0	0	0	0	0.00319668436923563	0	0.102828018127498	0.000498425945520354	0	0	0	0.085289760768218	0.0017321357594005	0.136325832022853	0	0	0	0	0	0	0	0	0.0235126103876191	0.0000695895546817603	0	0	0	0	0	0	0	0	0.00378391883598112	0	0	0.0249591016168008	0	0	0	0	0	0	0	0	0	0.000126401664573699	0	0	0	0	0	0	0	0	0	0	0	0	0.0000798326302570735	0	0	0	0	0	0	0	0	0	0.00031478977618563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000446788172774707	0.0255708349859533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000832117892097534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CSM5FZ3V_P"	0.266137834698968	0.0296803292360702	0.400426526027708	0	0	0.00798082056782549	0.00175403833254001	0.0961376695735912	0	0.000803610167224143	0.0280441521326421	0.0000632980611169702	0	0.0128207889499055	0.101322486749885	0	0	0.000018307378735153	0	0.00892730008282593	0.000383497704876917	0	0	0.0214055137038507	0.0000433154973995139	0	0	0	0	0	0	0.0000186663469456464	0	0.00191114675266588	0	0.0000128031995075901	0.00107391322972553	0.000975555940050393	0.000203295663209324	0	0.000569203925772074	0	0	0	0	0	0.00375660232281149	0	0.000646501747098279	0	0	0	0.00110239137442466	0.000120613318725719	0	0	0	0.000760653638035122	0	0.000359566490844037	0	0	0	0	0.000585955775595091	0	0	0.0010491444232015	0	0.000430642196521694	0	0	0	0	0	0.000291960811201147	0	0	0	0	0.000213346773103133	0.00283860095251018	0	0	0	0.00212497215004967	0.000716261236004128	0	0	0	0	0.00119428723631093	0.0000151963209108788	0	0	0	0	0	0	0.000492265072656362	0	0	0	0.000142749691706134	0	0	0.000311823718848439	0	0	0	0	0	0.000531990887950945	0	0	0.0000379309742421159	0	0	0	0	0	0	0	0	0.000028717456839457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000130185804338872	0.00140356570302847	0	0	0	0
"CSM5FZ3X_P"	0.660103850328047	0.00359674003677604	0.000880428339630421	0.0000130810202720135	0.00133566946661761	0.00251933963982654	0	0.17287281799663	0.00370106387613549	0.000498916599630942	0	0.000167566788608442	0.0479487500760807	0.000991238635323099	0.0519231099790563	0.000216107103502112	0	0.0000311349903995034	0.00103740058289459	0	0.0111746507556776	0	0	0.0000743780326210363	0.00207101739959479	0	0.000107891390342725	0.000999779136161852	0	0	0	0	0	0.00166983007538451	0	0	0.0208374166476848	0	0	0	0	0	0	0	0	0	0.00726191218786767	0	0.000106161668653864	0	0	0	0	0	0	0	0.00269944691067922	0	0	0.000140215564403321	0	0	0	0	0	0	0	0	0	0.000740969528465975	0	0	0	0	0	0.000409619717443475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00341036252480124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000072107772904406	0	0	0	0	0	0	0	0	0	0.00000983779210539786	0	0.0000164323560441814	0	0	0.0000131891278775671	0	0	0	0	0	0	0	0	0	0	0	0.000347565951855574	0	0	0	0	0	0	0	0
"CSM5FZ3Z_P"	0.430146650278469	0	0.00396771279832536	0	0	0.0000285157249529892	0	0.245046290708238	0.00253485203876005	0	0.0000145843784110703	0	0.0798100722111757	0.000350025081865707	0.124481805606997	0	0	0	0	0.000240968759717249	0.00502257694429627	0	0	0.028390778188692	0.000112539158783936	0	0	0	0	0	0	0	0	0.011759906738342	0	0	0.0415232490773476	0	0	0	0	0.000235309150184595	0	0	0	0.00000152374102802193	0.000202984072661549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000223119221960416	0	0	0	0	0	0.00151634000017196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0239338356817266	0	0	0	0	0	0.0000065303186915242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000499569379901607	0.000146170300045287	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000903360752327534	0	0	0	0	0	0	0	0	0	0	0	0.000163366805932968	0	0	0	0	0	0	0	0
"CSM5FZ42_P"	0.65562352383521	0.000130306588246618	0.0000573212779307851	0	0.00000283768702627626	0.0000267877655280491	0.0000116912705482587	0.065070660677104	0.0106500664245779	0.000163450772713528	0.0000188422418544759	0	0.0535058374627355	0.00273927604020526	0.0488682623094323	0	0	0	0	0	0	0	0	0.0199306650902748	0.0000380250061521054	0	0.000486606571265898	0	0	0.0000548241133476624	0	0	0	0.0158807181663729	0	0	0.0722159566092683	0	0	0	0	0.0000282633627817138	0	0	0	0	0.00412259171177454	0	0	0	0	0	0	0	0	0.0000499432916624659	0	0	0	0.00070170324785766	0	0	0	0	0	0	0	0	0	0.00255244272639521	0	0	0.0000625426220591338	0	0	0.00148592643443944	0	0	0	0	0	0	0	0	0.0000755959823800054	0	0	0	0	0	0	0.0428096870008509	0	0	0	0	0	0.00047491530071764	0	0.00000567537405255252	0	0.0000703746382516568	0	0	0	0	0	0	0	0	0	0	0	0.000238706232650381	0	0.00010817262944166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00111430294147827	0	0	0	0	0.00000805903115462493	0	0	0	0	0	0	0.000615437562258853	0	0	0	0	0	0	0	0
"CSM5FZ44_P"	0.549719192384007	0.00766417456716537	0.00135560804637682	0	0	0.0000083332124837141	0	0.0986132885085866	0.0241099317390852	0	0	0	0.131076778756672	0.00278469987556457	0.123316934581252	0	0	0	0	0	0	0	0.00014317974176565	0.0164908863875784	0.0000548693341460199	0	0	0	0	0	0	0	0	0.00269898683287493	0	0	0.0283550000465361	0	0	0.000108548209365794	0.000160711955043075	0	0	0	0	0	0.00177151110579132	0	0	0	0	0	0	0.0000465361216623045	0	0	0	0	0	0.00007857028913217	0	0.00032185680424115	0	0	0	0	0	0	0	0.00115755897046515	0	0	0	0	0	0.000100864338114577	0	0	0	0	0	0	0	0	0	0.000048917039514794	0	0	0	0	0	0.00943276363741045	0	0	0	0	0	0.0000336575205511088	0	0	0	0	0	0	0	0.0000106059067974555	0	0	0	0	0	0	0	0	0	0.0000388522504110858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000204001370542894	0	0	0	0	0	0	0	0	0	0	0	0.0000931804668633584	0	0	0	0	0	0	0	0
"CSM5FZ46_P"	0.557247181107744	0.0000402140365498778	0.00000382990824284496	0	0	0.00000234049948173781	0	0.194727961085579	0.00196772174610198	0	0	0	0.0719890830593265	0.00101928752429731	0.139584303887048	0	0	0	0	0	0.00331372172078203	0	0	0.0046174863184507	0.0000663850762093224	0	0	0	0	0	0	0	0	0.000711831001468875	0	0	0.0186811221588597	0	0	0	0	0	0	0	0	0	0.0000970243421520872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000571720191584777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00491472975263155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000047661080355411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000396395503134514	0	0	0	0	0	0	0	0
"CSM5FZ4A_P"	0.300432111084904	0.0140247110691801	0.240043402620284	0	0.241827687767234	0.0000283235863909696	0.0485509612884107	0	0.00375080888534088	0	0.026209195388396	0.0181310263217842	0.000110976044898428	0	0.0000389071329071684	0	0	0	0.0130980963727666	0.000729458344168869	0	0.000182238591440833	0	0	0.0174682947185079	0.000198668287461218	0.000704259423892204	0.00286723394475993	0	0	0.00937490550404896	0.0121135241597168	0	0.00856924562496346	0.00186885272339851	0	0.000652652035165597	0.012680701457304	0	0	0	0	0	0	0	0.00744335786700211	0.000447129641389125	0	0.00100140509179463	0	0	0	0.000116922990083721	0	0	0	0	0	0	0.000128716084773199	0	0	0	0.00409815080243442	0	0	0	0	0	0.000216609918698203	0	0	0	0	0	0	0	0	0	0	0	0.000692567124883833	0	0	0.000073177664483432	0.00229481527175523	0.00118898585433411	0.00214664562052845	0	0	0	0	0.00033000505994319	0	0	0	0	0	0	0	0	0	0.00289283604776102	0.000385039501827426	0	0	0.000928328222992301	0	0	0	0	0	0.00107125649880154	0	0	0.0000258036943633036	0	0	0	0	0	0	0	0	0	0.000252997159577705	0	0	0	0	0.0000873898555194695	0	0	0	0	0.000475050045055669	0	0	0	0	0.0000465676046712741	0	0	0	0	0	0	0	0	0	0
