"Sample1"	"Sample2"	"Sample3"	"Sample4"	"Sample5"	"Sample6"	"Sample7"	"Sample8"	"Sample9"	"Sample10"	"Sample11"	"Sample12"	"Sample13"	"Sample14"	"Sample15"	"Sample16"	"Sample17"	"Sample18"	"Sample19"	"Sample20"	"Sample21"	"Sample22"	"Sample23"	"Sample24"	"Sample25"	"Sample26"	"Sample27"	"Sample28"	"Sample29"	"Sample30"	"Sample31"	"Sample32"	"Sample33"	"Sample34"	"Sample35"	"Sample36"	"Sample37"	"Sample38"	"Sample39"	"Sample40"	"Sample41"	"Sample42"	"Sample43"	"Sample44"	"Sample45"	"Sample46"	"Sample47"	"Sample48"	"Sample49"	"Sample50"	"Sample51"	"Sample52"	"Sample53"	"Sample54"	"Sample55"	"Sample56"	"Sample57"	"Sample58"	"Sample59"	"Sample60"	"Sample61"	"Sample62"	"Sample63"	"Sample64"	"Sample65"	"Sample66"	"Sample67"	"Sample68"	"Sample69"	"Sample70"	"Sample71"	"Sample72"	"Sample73"	"Sample74"	"Sample75"	"Sample76"	"Sample77"	"Sample78"	"Sample79"	"Sample80"	"Sample81"	"Sample82"	"Sample83"	"Sample84"	"Sample85"	"Sample86"	"Sample87"	"Sample88"	"Sample89"	"Sample90"	"Sample91"	"Sample92"	"Sample93"	"Sample94"	"Sample95"	"Sample96"	"Sample97"	"Sample98"	"Sample99"	"Sample100"
"Feature1"	11837	0	0	8	68	0	1	0	3103	78	0	6	0	3869	0	236	0	69	0	394	0	0	1304	0	21979	33921	1747	212	34682	0	3013	866	0	0	0	0	4524	8176	0	17114	456	0	340	707	847	0	142	853	5064	0	0	1675	0	4370	64	0	0	204	0	19	0	145	7	3923	449	26	65106	0	0	8	21116	0	1889	1874	696	6475	30212	66789	0	28601	26	0	765	18851	2851	31	595	5443	0	0	5457	30503	3211	995	17494	0	0	68078	8	0
"Feature2"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature3"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature4"	0	0	1	0	0	0	0	0	0	14	0	0	0	0	0	0	12	3	0	20	0	9	0	0	51	38	0	0	0	0	0	0	0	0	0	0	0	8	30	0	0	10	0	0	307	0	16	0	0	0	418	0	0	0	0	1214	3	0	0	0	5	0	0	1	0	0	0	0	0	0	0	29	1	0	0	41	2	0	0	0	0	5	0	0	0	0	8	0	1	6	0	0	0	0	0	0	76	0	0	0
"Feature5"	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	1	115	0	0	0	0	0	0	1	0	0	172	0	0	0	4	0	0	0	0	0	0	3667	0	9	3	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	773	0	0	0	0	39	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	73	0	14	0	0	0	0	0	0	0	0	0
"Feature6"	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1718	0	0	0	0	0	0	0	0	29	0	0	0	0	0	2618	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	58	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	16	0	0	74	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature7"	3	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	6	275	0	0	0	17	0	0	0	0	10	0	0	0	0	0	0	0	0	0	84	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0	0	0	0	0	0	263	37	0	11	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
"Feature8"	0	0	0	0	0	10	0	0	0	0	1	0	14	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	90	0	0	0	0	0	0	0	0	0	0	0	1	0	0	35	11	6	0	0	0	0	22	0	0	1	0	0	0	0	0	0	0	0	4609	0	0	0	0	57	0	0	14	0	0	0	0	0	727	0	98	0	0	0	0	159	0	0	0	0	0	3	72	0	0	0
"Feature9"	0	0	0	0	24	0	0	1	9	0	0	0	0	0	15	8	0	0	0	0	0	0	0	0	0	216	0	0	0	29	0	0	0	0	0	0	0	3	0	994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	236	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
"Feature10"	0	6	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	13	0	0	0	0	0	0	0	13	0	0	24	0	0	0	0	0	0	0	0	21	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	66	0	0	0
