"metadata_datum"	"feature_spiked"	"associated_property"	"effect_size"
"Metadata_4"	"Feature22"	"prevalence"	-2.70012802036945
"Metadata_2"	"Feature75"	"prevalence"	3.83233200176619
"Metadata_4"	"Feature5"	"abundance"	-3.52483161492273
"Metadata_5"	"Feature17"	"abundance"	3.72192000853829
"Metadata_3"	"Feature81"	"prevalence"	-4.46653194027022
"Metadata_4"	"Feature39"	"prevalence"	-3.82106552773621
"Metadata_1"	"Feature27"	"prevalence"	3.21795523632318
"Metadata_1"	"Feature36"	"prevalence"	4.64415246620774
"Metadata_3"	"Feature65"	"abundance"	4.28155090543441
"Metadata_4"	"Feature2"	"abundance"	-2.8766469709808
"Metadata_5"	"Feature99"	"abundance"	4.77374336391222
"Metadata_2"	"Feature22"	"prevalence"	-3.98821993498132
"Metadata_4"	"Feature81"	"abundance"	-4.53982743259985
"Metadata_4"	"Feature48"	"prevalence"	4.37031914771069
"Metadata_5"	"Feature35"	"abundance"	-2.9069645749405
"Metadata_3"	"Feature31"	"prevalence"	2.66417630657088
"Metadata_5"	"Feature46"	"prevalence"	3.42354458756745
"Metadata_2"	"Feature47"	"abundance"	4.7393147816183
"Metadata_4"	"Feature77"	"prevalence"	2.93941316485871
"Metadata_3"	"Feature47"	"prevalence"	-4.8116465768544
"Metadata_3"	"Feature64"	"prevalence"	4.92269936949015
"Metadata_5"	"Feature37"	"prevalence"	4.85455037967768
"Metadata_4"	"Feature43"	"abundance"	4.23468629596755
"Metadata_4"	"Feature82"	"prevalence"	4.63778343400918
"Metadata_4"	"Feature87"	"abundance"	2.66627027303912
"Metadata_4"	"Feature57"	"prevalence"	-4.26606508204713
"Metadata_5"	"Feature10"	"abundance"	2.65667917963583
"Metadata_4"	"Feature78"	"prevalence"	4.98189365491271
"Metadata_5"	"Feature18"	"abundance"	3.19835120637435
"Metadata_2"	"Feature38"	"abundance"	4.70105841523036
"Metadata_2"	"Feature51"	"prevalence"	3.643957991153
"Metadata_3"	"Feature34"	"prevalence"	3.97914287808817
"Metadata_1"	"Feature60"	"prevalence"	4.92190112534445
"Metadata_2"	"Feature88"	"prevalence"	-3.37242982699536
"Metadata_5"	"Feature2"	"abundance"	-3.78038712253328
"Metadata_3"	"Feature21"	"prevalence"	3.88210233184509
"Metadata_4"	"Feature48"	"abundance"	3.63079907838255
"Metadata_5"	"Feature42"	"abundance"	4.70506082696375
"Metadata_4"	"Feature2"	"prevalence"	-3.64694620599039
"Metadata_2"	"Feature29"	"abundance"	-2.63785466260742
"Metadata_3"	"Feature67"	"abundance"	-3.03797162254341
"Metadata_3"	"Feature86"	"abundance"	4.65618210670073
"Metadata_2"	"Feature61"	"prevalence"	-4.37180954846554
"Metadata_2"	"Feature61"	"abundance"	3.20694194466341
"Metadata_2"	"Feature95"	"abundance"	-4.15579395135865
"Metadata_4"	"Feature12"	"abundance"	2.96227062121034
"Metadata_2"	"Feature58"	"abundance"	3.93645462754648
"Metadata_5"	"Feature82"	"prevalence"	3.85533957509324
"Metadata_1"	"Feature7"	"prevalence"	-3.02528758416884
"Metadata_5"	"Feature16"	"abundance"	-3.87864863558207
